# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: rp^2_value, datatype: float64}
# - {name: rp^2_errorneg, datatype: float64}
# - {name: rp^2_errorpos, datatype: float64}
# schema: astropy-2.0
wavelength bin_width rp^2_value rp^2_errorneg rp^2_errorpos
1.672 0.0020000000000000018 0.002925443207054238 6.042666129150087e-05 6.241152677571079e-05
1.676 0.0020000000000000018 0.002988571449069758 6.480295139659354e-05 6.549343185503461e-05
1.68 0.0020000000000000018 0.003004328243921029 5.79281949213209e-05 5.888881634023282e-05
1.684 0.0020000000000000018 0.0029746618437874704 5.779995419733126e-05 5.841723904316445e-05
1.688 0.0020000000000000018 0.0030141150635615652 6.457861434786341e-05 6.414687089089299e-05
1.692 0.0020000000000000018 0.002631239730522654 6.50770244693768e-05 6.599201711518206e-05
1.696 0.0020000000000000018 0.0029725311280622896 5.927671539314406e-05 6.13023261857382e-05
1.7 0.0020000000000000018 0.0029480486699516475 5.9814670195485094e-05 5.976642494732662e-05
1.704 0.0020000000000000018 0.0029914555330303187 5.921278254165637e-05 5.948829893912466e-05
1.708 0.0020000000000000018 0.0029238612103055393 6.190600912657713e-05 6.264611622859399e-05
1.712 0.0020000000000000018 0.0030982635665267187 7.140562733029716e-05 7.269971072184278e-05
1.716 0.0020000000000000018 0.002901613769445785 6.877892081001615e-05 6.846947535488288e-05
1.72 0.0020000000000000018 0.0030110743914869716 6.40532748605459e-05 6.57040063276799e-05
1.724 0.0020000000000000018 0.00305414711960222 6.348862293721917e-05 6.494548051207529e-05
1.728 0.0020000000000000018 0.0029196705100233023 6.243613527796713e-05 6.424261402288543e-05
1.732 0.0020000000000000018 0.0029297286367841262 6.496480374066456e-05 6.653332672662418e-05
1.736 0.0020000000000000018 0.0029494160303183683 6.674391908205023e-05 6.76836910445699e-05
1.74 0.0020000000000000018 0.002966017391873461 6.197789126098424e-05 6.294697726667246e-05
1.744 0.0020000000000000018 0.002909556456549317 6.116967361554553e-05 6.19679156024784e-05
1.748 0.0020000000000000018 0.0029430228695985325 6.0385120956874764e-05 6.197479392690839e-05
1.752 0.0020000000000000018 0.0028624195022401663 6.028139004856303e-05 6.127515373193036e-05
1.756 0.0020000000000000018 0.0030147813511682596 7.231204869665624e-05 7.394771812449692e-05
1.76 0.0020000000000000018 0.0029472991423120927 6.519850640276372e-05 6.639224388859267e-05
1.764 0.0020000000000000018 0.0030325418392600887 6.668940989644967e-05 6.795019480330955e-05
1.768 0.0020000000000000018 0.0029319278853065346 6.221789557595307e-05 6.430382383450272e-05
1.772 0.0020000000000000018 0.0030256099652383986 5.864312778646472e-05 5.74996296512976e-05
1.776 0.0020000000000000018 0.0030649900380198968 6.37868344139504e-05 6.442835041552868e-05
1.78 0.0020000000000000018 0.002935823323631489 6.0537175352992374e-05 6.245852369516323e-05
1.784 0.0020000000000000018 0.0029829938549828503 6.246216618131057e-05 6.243661769475203e-05
1.788 0.0020000000000000018 0.002915664292080762 7.456115179981697e-05 7.645898777967376e-05
1.792 0.0020000000000000018 0.0029390038055537113 5.914801541790759e-05 5.991645276225447e-05
1.796 0.0020000000000000018 0.0029554366934303813 6.783277768927006e-05 6.752018623645524e-05
1.8 0.0020000000000000018 0.002958975099441292 6.0266938791408986e-05 6.331272790082451e-05
1.804 0.0020000000000000018 0.0030178909748588955 6.0018453790726574e-05 5.939431361076447e-05
1.808 0.0020000000000000018 0.0029883601359181233 6.379974289296136e-05 6.49400851837666e-05
1.812 0.0020000000000000018 0.0030630291979693563 6.476840866393059e-05 6.581155462428729e-05
1.816 0.0020000000000000018 0.0030470503878195394 6.228087412101175e-05 6.274243355816481e-05
1.82 0.0020000000000000018 0.0029136499896638053 6.0937048235046656e-05 6.201331796809291e-05
1.824 0.0020000000000000018 0.003013215817102798 5.848276865761098e-05 5.921984840329478e-05
1.828 0.0020000000000000018 0.0029851544061966864 6.192623530151733e-05 6.197858519997514e-05
1.832 0.0020000000000000018 0.002896980248661239 5.8088074524246126e-05 5.8744816183963194e-05
1.836 0.0020000000000000018 0.002981774566298663 6.367315973478766e-05 6.560600251066633e-05
1.84 0.0020000000000000018 0.0029967650922669976 6.36812639680873e-05 6.395167199422895e-05
1.844 0.0020000000000000018 0.003154112109723832 6.584397619922334e-05 6.697639880833299e-05
1.848 0.0020000000000000018 0.003020235202537325 6.449433862564012e-05 6.657953203266466e-05
1.852 0.0020000000000000018 0.0029273871196016377 6.559262911097052e-05 6.644974910093634e-05
1.856 0.0020000000000000018 0.002883113240192383 6.245963164650719e-05 6.343391978084166e-05
1.86 0.0020000000000000018 0.002964951164981053 5.769828166662374e-05 5.921297796569443e-05
1.864 0.0020000000000000018 0.0029652503511273954 6.105390618810387e-05 6.0770228256396344e-05
1.868 0.0020000000000000018 0.0029385493637484575 5.8983071789016e-05 5.786659034285159e-05
1.872 0.0020000000000000018 0.002871300139191802 6.436000276553548e-05 6.489449735846975e-05
1.876 0.0019999999999998908 0.0029681089558283445 6.0599917415431106e-05 6.079377443004045e-05
1.88 0.0020000000000000018 0.0029849535740616565 5.688455564724533e-05 5.738253429835244e-05
1.884 0.0020000000000000018 0.0030116997098789326 6.231428031468764e-05 6.303594778242494e-05
1.888 0.0020000000000000018 0.002914764777648907 5.9092060986832944e-05 5.9101692714478e-05
1.892 0.0020000000000000018 0.0029440999852423325 6.078547405547136e-05 6.31634150523152e-05
1.896 0.0020000000000000018 0.002913290749845623 6.464900063796316e-05 6.51074754002552e-05
1.9 0.0020000000000000018 0.0029082989905675006 5.868239926826472e-05 5.919484026012129e-05
1.904 0.0020000000000000018 0.00295643115123949 6.206529249716325e-05 6.30265383912091e-05
1.908 0.0020000000000000018 0.002931905662298403 5.8544574087548984e-05 6.023320338993665e-05
1.912 0.0020000000000000018 0.0029997361006590126 6.101934604160579e-05 6.082907127329855e-05
1.916 0.0020000000000000018 0.003009634785646699 5.805068977156932e-05 5.735092488048845e-05
1.92 0.0020000000000000018 0.0029269283484904085 6.202487066264304e-05 6.207942939616927e-05
1.924 0.0020000000000000018 0.0030061058287803094 6.17132725708432e-05 6.165055420475577e-05
1.928 0.0020000000000000018 0.0029162661738495236 6.488548428543574e-05 6.560035223413451e-05
1.932 0.0020000000000000018 0.0030292844671429785 6.110229774025427e-05 6.245354335064537e-05
1.936 0.0020000000000000018 0.0030545407178976364 5.846065015006202e-05 5.651332401318716e-05
1.94 0.0020000000000000018 0.0029737179263802653 5.899116583556012e-05 5.91993432994928e-05
1.944 0.0020000000000000018 0.0029220524987813795 6.24270813339438e-05 6.304122211741323e-05
1.948 0.0020000000000000018 0.0030067874702182436 6.142116809473939e-05 6.144911403659688e-05
1.952 0.0020000000000000018 0.002821560284004777 6.007127084040531e-05 6.05326900495716e-05
1.956 0.0020000000000000018 0.0028440507404782775 5.7496087955660746e-05 5.842863364729145e-05
1.96 0.0020000000000000018 0.0029924635080749305 6.006617921621143e-05 6.0311037262166835e-05
1.964 0.0020000000000000018 0.003013063191074641 5.7474167354800224e-05 5.970886407757675e-05
1.968 0.0020000000000000018 0.002996217639389747 6.007452445304113e-05 6.0692635124091985e-05
1.972 0.0020000000000000018 0.0029791204235972376 5.7424980203532854e-05 5.8485357350925374e-05
1.976 0.0020000000000000018 0.00298192296878773 6.147463689947126e-05 6.336080579654856e-05
1.98 0.0020000000000000018 0.0028068160876887818 6.496837678956601e-05 6.61813867969545e-05
1.984 0.0020000000000000018 0.002963171834083798 6.307025855339585e-05 6.366622792074953e-05
1.988 0.0020000000000000018 0.0028928900213513777 6.554822266991497e-05 6.754203807105919e-05
1.992 0.0020000000000000018 0.003073224556857959 6.103982686910545e-05 6.17667744349593e-05
1.996 0.0020000000000000018 0.0028743315478321086 5.7135719097795024e-05 5.843178059803181e-05
2.0 0.0019999999999998908 0.0029973356621056223 5.905318580954168e-05 5.805818150524979e-05
2.0039999999999996 0.0020000000000000018 0.003006839269322704 5.9235145902037344e-05 5.954290737910685e-05
2.008 0.0020000000000000018 0.0028769348802128295 6.053597323113112e-05 6.123102754871258e-05
2.0119999999999996 0.0020000000000000018 0.002899804383858575 6.085662163207543e-05 6.272059359748892e-05
2.016 0.0020000000000000018 0.0029619816352941713 5.864269463718742e-05 5.8580508835869623e-05
2.0199999999999996 0.0020000000000000018 0.0029415030223064885 6.208522974689157e-05 6.466998284273238e-05
2.024 0.0020000000000000018 0.0028403341980040675 5.852477627906827e-05 5.957760627942196e-05
2.0279999999999996 0.0020000000000000018 0.002952057056464698 6.038212976779275e-05 6.202681269080199e-05
2.032 0.0020000000000000018 0.002881514878749835 6.469174689937565e-05 6.558753916007312e-05
2.0359999999999996 0.0020000000000000018 0.0028393462379118868 6.013794345981248e-05 5.953376243090797e-05
2.04 0.0020000000000000018 0.0029025634968384284 5.97388485394125e-05 5.971292272463407e-05
2.0439999999999996 0.0020000000000000018 0.002832510577331774 5.8307073516198835e-05 5.816630919670178e-05
2.048 0.0020000000000000018 0.002829282286409315 6.511068625682324e-05 6.563828345275283e-05
2.0519999999999996 0.0020000000000000018 0.003018967039823525 6.0631302984808476e-05 6.15069287984429e-05
2.056 0.0020000000000000018 0.0029322888629403107 5.861204495719941e-05 5.947080271811187e-05
2.0599999999999996 0.0020000000000000018 0.002903669616995287 5.9931368621579054e-05 6.157862881225624e-05
2.064 0.0020000000000000018 0.0028918806426142993 5.7788931310538694e-05 5.9453593766871284e-05
2.0679999999999996 0.0020000000000000018 0.002989744080199109 6.107349796840005e-05 6.299139713320445e-05
2.072 0.0020000000000000018 0.00294316299725215 6.6560877404271e-05 6.789158632024847e-05
2.0759999999999996 0.0020000000000000018 0.002908426067800541 6.149390878557558e-05 6.249201968927228e-05
2.08 0.0020000000000000018 0.0029853396353480754 6.260804842268906e-05 6.437042793362106e-05
2.0839999999999996 0.0020000000000000018 0.002885411152646812 6.088997129201964e-05 6.143156875409745e-05
2.088 0.0020000000000000018 0.0029345476998976936 6.212769497933182e-05 6.364516070925296e-05
2.0919999999999996 0.0020000000000000018 0.0029648055095478237 6.640513559663837e-05 6.717525839673288e-05
2.096 0.0020000000000000018 0.0028999208193728762 6.073646168892671e-05 5.9274887793021175e-05
2.0999999999999996 0.0020000000000000018 0.0028634944522568776 5.6981600771009114e-05 5.9250475174064e-05
2.104 0.0020000000000000018 0.0028158092306631174 6.235445945123935e-05 6.23379900978791e-05
2.1079999999999997 0.0020000000000000018 0.0029434457931207265 6.0256523212067706e-05 6.0993752949802405e-05
2.112 0.0020000000000000018 0.0029512213046662492 6.083276304428816e-05 6.252506930054221e-05
2.1159999999999997 0.0020000000000000018 0.002975229761437868 5.8279035470287354e-05 5.9385861897774846e-05
2.12 0.0020000000000000018 0.002943605065466906 5.921117771056977e-05 6.204786528148836e-05
2.1239999999999997 0.0020000000000000018 0.0028469975272090737 6.0809081271994987e-05 6.074153929923635e-05
2.128 0.0020000000000000018 0.0028224770765255714 6.343345410378311e-05 6.262256513756915e-05
2.1319999999999997 0.0020000000000000018 0.002998036565771724 5.670461241849686e-05 5.90107531633112e-05
2.136 0.0020000000000000018 0.0028793351042860535 6.024863741812929e-05 6.0509839334376564e-05
2.1399999999999997 0.0020000000000000018 0.002912896276464601 5.8057546958732026e-05 6.0338780313760713e-05
2.144 0.0020000000000000018 0.002974185567602707 6.060234735416571e-05 5.9613040868634025e-05
2.1479999999999997 0.0020000000000000018 0.003027453038264906 6.0385513739094274e-05 6.198768229734655e-05
2.152 0.0020000000000000018 0.0029165776525521435 6.144904799836211e-05 6.095576622476041e-05
2.1559999999999997 0.0020000000000000018 0.0029821996843517576 6.15165777405292e-05 6.235659278337833e-05
2.16 0.0020000000000000018 0.0029389462191984897 6.365718842737175e-05 6.33114778736104e-05
2.1639999999999997 0.0020000000000000018 0.002988688299985744 6.0906339362991595e-05 5.996273174629311e-05
2.168 0.0020000000000000018 0.00296559133959413 6.203587730221633e-05 6.174358593919512e-05
2.1719999999999997 0.0020000000000000018 0.0030126781486805223 6.160041549619407e-05 6.13046064122276e-05
2.176 0.0020000000000000018 0.0030014512025265854 6.379199123010939e-05 6.462760728738514e-05
2.1799999999999997 0.0020000000000000018 0.002892243663238293 6.466697207983168e-05 6.603484643641182e-05
2.184 0.0020000000000000018 0.002944299495361315 6.215993539294236e-05 6.219280655630263e-05
2.1879999999999997 0.0020000000000000018 0.002902466087202217 6.061629888148498e-05 6.0484359822783954e-05
